,text
242081,"@_BSoN_ With THESE kind of skills, I don't think she worries about her REP too much. lol  http://bit.ly/rmipb"
7761,@dougiemcfly its coffee  great show in hammersmith loved your purple trousers!!!
254934,@francii_ Hell yeaaah! // i love yours hahah 
186049,loves the rain. 
249920,Well I was out of the office and left OutTwit running and I've got 1319 unread tweets. You people talk too much !! 
313139,I wish I discovered George Carlin before he died 
374841,So i have to pee and the next rest area is fifty miles away 
496670,@jalenrose Toronto will get one...I hope  lol
397365,Wipeout isn't as fun without @coreybaskin 
299030,had the worst Chicken parma for lunch today - very soggy 
41485,Is it tuesday???? Noooo..it's MONDAYY!!! 
136154,"According to AT&amp;T, I qualify for a &quot;standard iPhone upgrade&quot; on Dec 28 2009   #attfail"
198199,@sidtaparia guess what i took out my collapsable keyboard to give you quicker updates. You owe me one for this 
276272,@ddlovato meeeeeeeeee but i cnt go its finals weekend 
402837,my hair is eucking short! -___- I feel like a man! it's short like @billbeckett  only thing I like about it! 
285984,"@SallyLeeCandles  Hey Sally!....TGIF too!, it is such a relief. I hope you have a great weekend.............."
205466,wishing Jon had given me back my JavaScript book 
104318,@officialTila AWWW YAAAY!! You're gonna have a great time boo!  I'm so happy for you right now! &lt;3333
496369,"@StarOfSavannah Well one has gotta have that funk, so I can appreciate that. "
19748,So tired. i miss the weekend already. 
222723,Feining for americanas carne asada fries. If you're from Vallejo Fairfield AmCan&amp; coming 4rm the city. Haha stop by and get me fries  pls.
373249,@coollike are you going to do another questions video on youtube? the last one was tres amusant 
453454,Three more FF  @JohnKDavies @asimchoudhury @Abbi_Davis
244995,so tired 
285527,"@writeinink Bet you're right, LOL. "
412491,I'm sick!  it sucks! IM me! ohbabayy33
489432,I'm sick and my head hurts so baaad 
146442,@Charmel86 friend but you MUST up a pic! Welcome 
515445,"@meglizmiller i try to be both, one is easier then the other (polite that is "
82772,@jakebang1 que le pas�?? 
414195,@joelmadden you're insomniac !!! lol  I love GC   ho God =D
281087,back from the trip 
442143,"@dougiemcfly @tommcfly good morning tom and dougie, how are you today? "
429284,Im thinkin no more late nites or busy days fr me in a while .. I need a while 2 catch up  dnt say gudbye jst dry ur eyes ;) . XxO
426150,@buzzamus We are sick together woop woop... except my cold is basically going away thanks to sudafed but my dizziness is still there 
212841,@tommyreilly Awww i didnt know u were playing in Dundee today!! Had the day off aswell!!  u comin back anytime soon??
135978,First night of bowling league went well.  Bowled a 183-204-193....193 average over all!  Just missed the 600 series mark!  
402478,"Morning twiggas! Enjoy your day, I wont. "
297526,@Nolex been alright. doing the usual. all work no fun 
323654,Rest In Peace Daddy ! Happy Fathers Day 
357464,@etoqpraz hey! i thought i was having your babies....such a traitor. 
277992,I'm doing a whole lot at once just the way I like 
375824,@dustt how's life treating you? 
195479,"Forum: organize my code: Hi,     after learning Javascript for quite some time and working on projects t.. http://tinyurl.com/ld7wgr"
513470,it's hard to find a good guy today  i really believe that i'll be single for a long long time
360594,@Shekema_Magitt thanks 4 my pic. But now i kinda miss ol cock eyed 
292079,@stfucatherine I shall be on it after dinner 
303527,New blog post: Another stint in hospital  http://www.podgypanda.com/?p=140
335175,Just woke up. Gonna take a stupid 1 hour drive in 30 minutes 
457096,@mileycyrus holy pictures of you and liam  intensee .
410566,"@JulesMcFLY haha, great and I'm a geek "
503766,"@acedotal I WISH I HAD BEEN THERE, WATCHING SERENITY W/ YOU "
314928,Is at deaths door oh roll on 7pm get me home 
380638,I need to find more Bay Area folks so I can network with local peeps 
415307,@shalovesmoney dead dont wanna b my girl twitlerz smh 
525502,just got up and need to clean house befor emom gets home from the baseball overnighter i wasn't invited to. 
297281,Just finished my practice round @ nashboro village gc it was pretty gody 
144094,Good bye for today .. I'm leaving the studio for my internet-less home! Only six days to go  Come on OPtus!!
311028,"@jordanknight aaaah,jordan...you�re for real *smile*...i�m sure you�ll do it  we love ya,greets from germany,j."
67563,"Just lost a subscriber, I'm never going to reach 100 now. "
246126,"Djing @ Chevys 2night in Chesapeake, VA. Be There "
240743,@LilianTheNerd  Buuuuu como crees 
511235,@sassy1jenn Noooooooooo that sucks cause I wont be here....booooooooooo now im really sad 
276090,I attended a special worship service this morning... 
125707,"Sing it with me!!! Livin' my life like it's Golden, Livin' my life like it's Golden!!!!!!! (via @StaciJShelton)&lt;~LOVE Jill Scott! "
215573,"@UhHuhJenny Fankoo! Yeah it was real fun, I sold a bunch of eggs at one point XD I sure do miss you though "
495881,my mom was just asking if i could work w/her on fri....so now i'm not sure....... 
313737,"@jason_mraz: Jason must be so darn suprised to see those local tv crew ppl. indeed, it was a &quot;random&quot; act of tweet mastery "
315994,@spems thanks 
338247,"@docky Okay cool thanks Dock!  I'm glad you think it looks good, I'm still learning/adapting to trying out a new style.  tyvm ^___^"
63387,not welll pal 
40654,I need to set up tea making facilities in my car 
57981,already stressing about this 
343601,@smaksimo so sorry your clinic experience was so bad! I feel bad I recommended it 
483853,@kate_ground let my husband give you a quote 
286882,"All these awesome concerts I passed on this week because of Camera Obscura, and they cancel.  Still bumming! "
57913,N�ng trong ng??i 
266181,Feeding my Lost addiction 
309037,"@ztnark previews look like the 1st edited down, the Ocean No one would find my body, and make me look stupid for drowning in my pool. "
426897,@tayofsupasavy it's a no go.. Already closed it..  sorry
83735,a long to do list on this monday morning! but will be flying to sunny puglia (italy) tomorrow 
488122,i need someone to teach me how to drive. dad's always busy 
440175,3 separate attacks on Indians in Australia in 1 week. Is there a bigger trend? Worries me 
83720,"@kamalazmy yeah man i actually watched it awhile ago and kept the tab up and when i refreshed, it said it had been removed "
402278,"sleepless in Paris...thinking too much is bad for napping...played an AWFUL gig last night, I was rubbish  must try harder"
506604,This headache is killing me. 
245652,"@MrMcShine Haha But not too skinny, Which is always a good thing "
110584,@siansburys Ooooh sounds good to me #elevensestime  Think I've run out of biscuits though 
14951,finishing up hw. last day tomorrow. woot woot. 
129830,@D3podcast we only sold them before the record came out.  They're gone!  
378357,@TelleTWA lemme ask if ur EP will b available here at Philippines? i think its possible? 
256661,it's official- the Twilight Saga has ended...*sigh*...my life is empty! 
218986,"She don't have a twitter, facebook, or myspace...she just too hood for that. That's why I like her  jk."
258328,Missing you @octopandda 
188073,"@Collin_wolfboy2 sorry :'( it would take ages to get there, but you guys have fun without me "
467348,Cooking with @KariOlnes  
123760,another test... sorrry 
401369,"Got up, had eggs, and did my stripper aerobics. Realized I do some of those moves when bored but for no one "
434652,MY twitter moble isnt working  Matt!
296415,my mummy is cooking dinner just for me because I missed out when everybody else ate. I feel &lt;3'd 
137145,`Phone w| him didn't end so well  Womp! i quess qoin 2 sLeeep ; Lonq weeek cumin upp. . .
12461,i'm so not gonna be in social class. i hate economy. so much theories! i got 65 for the last exercise. CRAPPP 
413777,"excited for you to take me to prom in your blue civic, excited to take you as my date to prom "
300946,@MagnumTi Heard you got struck by lightening! 
465506,@ashleykohn Im tired of being the single girl.  lol
134503,I want to eat sushi 
148341,"Back from Tartu - got nothing I wanted to buy but had so much fun that... I don't wanna say. In the end, tho, I turned to Martian! "
520120,"My grandpa turned 93 today... That makes me feel... Incredulous... He cant talk sensibly, But We're going to visit him. "
373202,@jon_decastro Exactly how I feel when I get an e-mail on my @UbeTunes inbox. 
96084,@gjwagner That's great~you really demonstrate a powerful way to engage with Twitter! good for you! 
184244,I'm sick! My throat hurts SO bad!!!! 
365528,@libertygrrrl I twied to join yr twibe but just got a blank page  Maybe it needs to mature?
139580,@wheyroo I should have listened  Now I'm scared if I go to bed they one eyed gypsy will get me. FFS I'm 19! what is wrong with me?
396414,"Not going to beach any more  might make video if I have enough time, Im going to be watching Italian job (the original) with my m8."
373784,@gandolfthegrey Thanks for the love 
165125,It's true though innit.  Fit women only come out when the sun shines.  xx
421502,@elpee31 from bf huh? 
328290,way too many cute dogs for me this morning 
347766,got to go to school   no I'm not very happy....
253408,Ugh. I'm going back to bed. 
289861,@vallleriiie Good. Call me. I want to make plans before I leave. (June 20th) I miss you so much it makes me sick. 
264405,"The boring holidays, it feels the time has slowed down "
266949,@Renzi28 hey hun! U see how they do me? 
232121,Mosquitoes attacked the shit out of me last night. 
187572,"@danielsnotcool miss you too man. and dude im sorry about the song, i was camping over the weekend "
333037,@DonnieWahlberg I wouldn't have guessed ;) Have great time in Atlanta  Wish I was there.. Miss you! Please come to EUROPE!!! Love ya!
499533,watched Bridget Jones's Diary. super duper cute! 
92377,@Reattached you left me 
482121,11.25pm on Sunday and I am about to go to bed  work tomorrow!
431426,@netaddicts DMI says Rain/showers + 15-20C for #CG09 I'm afraid 
11384,@d33pak well if you aredieting i shouldnt tell you more abt it 
296402,"@JuLeGiRLiE  OUHHH! AWESOME  Welcome to my Club! Called The-Happy,-Crazy-Girls-from-germany!"
518990,changed my profile today  and added some new sites to my directory
4939,"@sauce_pot yeah im here for a bit, got a load of gigs to do, missing ibiza though  where have you been? any craic?x"
438955,i have to go and study soon boring old studying   i just want 2 stay on the pc writing and chatting wit my pen friends!
457881,@omgitismanda ok I can't go then  my dad just got off the phone and is like be here by 1 cause papa don is coming out of the hospital to
444314,I'm cleaning my room.. or eny way I'm trying to.. 
365170,I have nothing to do today  i wanted this now its getting old
359351,@kimmymary   hope you find everyone
30891,No rockiin rootss for me todayy  i reaally wanted to see dance gavin dance &amp; GLD &amp; envy on the coast &amp; taking back sundayy 
17205,"Oh crap Monday already, and no NKOTB concerts in site for me "
351576,Had fun at trade days. Cam him and took a nap. Now feeling rejuvinated. Off to the grocery store for supplies.... And possibly ice cream 
287823,at the jacuzzi w/friends 
250016,"@ayoobitch i thought we were friends, are you gettin rid of me?  , lol"
206906,@Pokefeo damn you're glue fan as well  you shoulda came out for the show last sat!
384066,"@jessinNY Gold street is great, but I've seen some amazing places with that deal that put gold street to shame "
369126,"@wpup_tj if y'all love rock, follow 'em... their playlist rocks, and they're BULLDOGS!  "
288393,found studded platforms in downtown la jolla today 
252384,@ekblum solid reason but I will miss sitting in the living room being a bum with you! 
231584,studying for the big English exam tomorrow  boo.
309289,Laying in bed. I miss Goob.  graveyard shift sucks. But on a lighter note! GRAD NIGHT tomorrow &lt;3
442879,@johnmorgan Got your text!!! Welcome to the club of 5 Guys!!!!!!!!!!!!!!!!! Amen! 
85260,@Brownsview365 thanks for the #FF 
507193,@WifeyHeather woohoo fob in 4 months  be safe at work!!!!
408552,@Silverfox887 im gessing ur not from Britain 
434396,@RealTalibKweli this is torture Kwe.   It was bad enough when you told me I missed the London show. Kick arse!
99607,Done! Having the music played surrounding the room is my favourite moment of a day.... Nighty night. *oops! Tetangga udh sholat.  byee..*
383531,"gogster quit!  But might return! But on the other hand, I got a new style on the blog and hopefull a cooler header!"
22373,@mariaSTACK link me?? 
131150,my legs are peeling already  i should sleep before finals.... nah
389416,waah. soo tired  just got home. wew!
83223,and I wanna go to the shore 
427857,Had to return faulty copy of dead space 
488214,"@RealMattLucas aw, linky not working "
189989,"i assume this is what it's like when your baby dies, or something. toys everywhere, but the house is quiet. i hope p-nut's having fun "
300897,@Real_Gaz_Coward making me watch scary movies  meany!!
517977,haha @item_9 yea  i'll keep you guys updated with everything i do over there
150904,@RogueFrenchFry I left my earphones at home 
121966,To the beach 
283969,@audaxpowder thanks... turns out it wasnt the javascript.... it was one freaking css descriptor that was bugging out IE6 and IE7  lol
219503,"New Moon Talk, i thought the wolfs were going to be bigger  I have a feeling new moon will be better than twilight"
338810,Farrah Fawcett Has Died at Age 62  today.
131496,@minasmusings awe!! Well good afternoon beautiful 
2045,I wanna kiss a girl! Keith took my fave song and trashed it with Kris Allen n then put out a suck video he tried 2 get fans to buy first. 
295142,My husband prescribed me yesterday a &quot;day off off twitter&quot;. I already showed signs of addiction  We had a great evening at an oyster bar.
411716,@kimodified Congratulations! That's awesome! 
183838,on the computer NOT watching jon&amp;kate plus 8. hahaha (: victoria 
36117,"@milspecster Lighting fires then talking about V8's causing global warming.  Irony indeed, get a thick blanket "
116096,Drinking a big glass of wine...Wanting to go out tonight but my bff switched out on me 
202194,@menace718bk  And ur not very menacing. 
268241,Yum Ninfas mexican cafe!! Soo good! I'm extra full now  Loves the Galleria!!
342956,I'm bored. I have AIM and MSN so don't be shy 
274306,No comment on last night except to say the cake  thrown at my face ruined my clothes and hair  Very sorry to anyoner I let down tho
301048,"seriously I need to make some calls to cali, see what the aftermath of the quake was like...hope it aint nothin like the 89 quake "
378070,@ChazHamX OK dont worry darling  ill find sum1 else hu wont fill your shoes. xx
241616,"@briarlaboheme When I had one, I'd always end up biting it off while eating something.  They're such a pain."
266343,"&quot;All the rainbows in the sky Start to weep, then say goodbye You won't be seeing rainbows any more&quot;  "
524388,Input Textfields in #papervision3d not working 
136709,@GDGOfficial: ahh so unfairur going on aboutmeet and greet passes and ur not coming to scotland  not fair
95381,stairway to heaven intro on guitar 
115958,"@holysanti what? bb, no. I'm so sorry if i made you think that "
260574,i mean..  I really want to mee the casts of Twilight and Ms. Steph too..
369494,Chillin Chillin Chillin... Miss you mattie 
353319,"Oh no! ANother game from @riyaan. First peggle, then farkle and now this "
12430,got birthday cake  even tho my bday isnt till next week!
427317,@dooganized he is a genius I well want to see him live 
365896,i have a really bad head ache  gonna go to bed i might be back maybe not bye bye
52519,tchau fds....   Mais um longe do amor ..  
29395,going advert. i just need my atm numbers. they denied it for 7 times. gonna use AMEX next time 
215697,cry me a river? ..don't mind if i do. 
284856,need. to. study. 
35586,same but all time low isn't at the camden date.  @whatsupanimals
89332,is destressing by watching JONAS and Hannah Montana  - http://tweet.sg
37486,"So, lets just make this your best piece and just sing pretty for me "
459425,justn got a major headahce 
321661,why isnt any one on!!?? 
222667,"@gregkanimian I have a cake, but I'm at work right now. Yes working on a saturday "
326109,@redmantw  Sorry to hear that.  I am going to bed!  You have a blessed day..... Good nite 
180033,@tracecyrus http://twitpic.com/6tgh8 - That's a awesome guitar.  
123693,"@Chicago_Ted its com-ed here in illinois. I feel like I should be on vacation right now, but still have to get up and go to work "
345061,"@bitofwhimsy  Good morning to you!  A lazy kid-free day here, what are you up to today? "
398889,"painting is 80% preparation and 20% painting, i'm @ 75% now "
253784,At my brothers wedding.   http://yfrog.com/0jinlj
163201,"@blcarol007 Awww, thats a bummer   I love the horses!  Though I do ♥♥♥ Florida!!! #YATrivia"
183335,Now starts the Killah Friday Five Hour Skruuuratch Session 
283614,@mikaWarhol I found you! 
347121,"@keshav lol.. Nevermind. At any point of life, if you ever wish to send money to someone, just know that I'm always there 4 you. "
458215,@frogtosser safe and sound nestled up against the foothills in Golden. All I get is hail. 
239275,"The internet is as old as me. Not bad, eh? It's managed to do way more than me "
337767,"@SarahBrowne lol yeah! wrote it fast at work so it sent before I spell checked, and I just saw it updated now  whoops"
160269,@Altid you are speaking my language! 
481031,"@madi_bee yea, its a pretty good song.i kno all the words now!when im at hot topic, i will hav to buy a slipknot shirt. glad u likd it. "
189097,it`s raining  my tv`s gonna go all spazzy
290821,Working at home 
508402,@mrs_mcsupergirl I look forward to it!  Is it the next chapter?  
28402,@Brysonen haha.  Nearest gas station. All we have is candy their and old french fried YUCK.
464508,Looks like a smoking pipe now!!!   http://tinyurl.com/mvflbg treasure spot detecting relic
91758,@britl Good luck. It ALREADY looks like a bomb went off in it. 
353942,@stgemma nope... but no qualms  xx
489060,I feel good after my workout  leaving work early leaves too much energy to be consumed .. gotta do that more!
248127,new vid!  http://tiny.cc/staybeautiful
356380,@andrew_apuya hey hey andrew!!! haha! ;P well happy mother's day to your mum. 
316482,@KahleeRose is there anything you cannot acronymise? 
445680,@nicole_honey thank you  i have a business exam tomorrow too :/
336442,@EthanNewberry brilliant! thanks!! If ya wanna work on something together... hollar! 
166360,watching Iron Chef. i will practice my cooking this sem.  i want to be a great cook. i swear. enough of tuna and fried whatever.
511019,sleeping alone tonight  goodnight
431826,havng a splitting headache  loads of wrk 2 do as i was not in off yest n along wid all of dis i really wanna go meet @bloodyc family
193912,"Had dinner in Delfino. Almost nothing vegan there, pizza contains milk, cooked vegetables contain butter  Had fries and an enormous salad."
287931,Hate Sunday... So close to Monday and school is monday. 
420384,Just bought kites and a new pole 
63462,@monkeyfacechar 
482446,just reached home from the library. sigh! not going to hospital today 
468453,@zntenn  just type something in this here lil rectangle. can use your cell phone too. So strangers can bask in your awesomeness 
392275,@A_MixFit I didn't know you dm'd me  I never check dms sorry for getting back late
57982,"The dogs felt bad for waking me up early, so they slept with me til 11..time to get up "
64882,"We won our last game,  and thawed out on the way home. Going to grab a hot shower and get jammies on, did I mention I am getting sick? "
332332,is done with cleaning  (122)
400865,"watching The Sandlot, nothing like the original "
428764,"Tonight I wonder if Yahoo! realizes when they send those FATHER DAY reminders out, what about us who don't have a dad anymore? "
344515,Listening to Isaac Blackman - To The Ceiling. I Like it 
463416,@Zut_Radio You been Mega Zapping? 
363402,watching house 
167962,"@Awful_Economics Ugh, not while I'm eating my French toast "
38198,graduated. yay me. start college june 22nd. yep back with steven.  (my thought bubble is filled with ha ha comments)
160557,Mother bird uses body to stop flow of water from soaking her babies. Cool pic http://bit.ly/9IkwP #hero 
382668,@nancycoop u went without me 
467604,So fresh and so clean clean!! Oh yea!! 
18729,"boys, broken my heart, boys as you  make girls cry, girls as me!"
509634,@Kekeluvsday26 YES....New ones...  Lol
51561,"Rough Night.  in New York, NY http://loopt.us/3iw0zA.t"
323123,Going on a hike with sabby. We both need it. Back to work at 6 
355397,@triner dad says hi!  
216555,wooow uncharted 2... looking sexy 
73357,"correcting someone's French on Facebook! I'm just trying to help, but I feel kind of horrible "
44186,Wires wires and more wires. Thank god(s) online transfers start soon. But then I won't have any excuses to be off the line. 
268611,@Whagi_The_Gamer Yeah. 
66404,"First my phone, now my pc WTF man, I just lost all my data  I hate technology..."
418422,@ccstewy89 i will try record it and upload it to youtube 
373196,Just unpload a new blog... 
119898,just got done painting a big gate green. the oil based paint doesn't come out easily 
378283,@Vin07 The link was for joining our Google Friend Connect. You can join the group directly from our website..Thanks 
244161,@shawnieora I just turned 43 last week...the 'clock' is now broken...I refuse to even look at it. 
474710,I'm so mad it takes me so long to go to sleep now  ughhhh FINALLY off the phone and going to sleep. Henryhenryhenry &lt;3
63075,"@ShawnaLeneeXXX Hey Shawna, haven't heard from you for a long time. How have you been? "
5201,"@mcraddictal yep, ive finished my exams. so i get a lot of free time now! what words do you want to learn? "
451455,CanadianGir2112CanadianGir2112 @JamieLynn84 @jimalger well then someone will be left out 
363662,"My feet are cold. I hate this weather. Chillblains? I know what they are, I get them. "
24098,"Even though it didn't happen to me, I'm still upset over the break in "
198591,@SarahSaner get a better bin! ;) She's just feeding her family on the cheap! 
189294,@MatthewBryan Now that's something I can hold on to. 
452377,"Internet theft :The c-card owner doesn't pay, the cc company takes the money back from us and the retailer looses "
101979,back from shopping!  bought some clothes and a pair of shoes. v. much needed. also bought the fam. chinese for dinner! aren't i nice?
203530,@whiteninjaturtl   your adorable 
415682,Feeling somewhat better today. 
428514,@kathieBSNRN You to...and dreams with Matthew!!! 
465523,week-long visit with my parents going well &amp; flying by ... wishing the weather was better 
144377,I'm going to sleep before my head explodes. Have had a nice day but totally shattered. Good night twits 
21839,@b3gl You can only get such knowledge from going through the list and laying them out on InDesign 
95670,"June 17, tomorrow is our First month together as barkada.  yey! We should celebrate guys!"
132255,Why did I cry in work. Why why whyy. I want to go home. 
76071,@Glamourchick84  I WANNNT YOU &lt;3
332,"Oi @ksymmonds Follow @leespoons - he's funny, nice bloke &amp; a bloody good mashup producer "
157800,my mom watched my new video and she actually LOL  Love her! xoxo http://bit.ly/16w6zV
93482,@iheartnynuk No car 
356598,God I hate making inappropriate spelling mistake in tweets 
191159,"@GothicblueCJ Hey Girl, what's up? How r u? How was the cruise? Bet u had a blast!! i want details!! "
527037,I'm hungry! But I had breakfast 4 hours ago! I think my lunch time will be so closed to my breakfast! 
91143,Bout to pull a &quot;KO&quot; today...LMAO.....when I grow up I wanna be just like u my dude!! 
509164,"@newz_junkie I'm still laughing, ppl out here think I'm crazy "
266793,I really feel like hula hoops right now. It's a pitty they took them off them market  I hate it when good products get discontinued
400768,Signed up for #googlewave. In an hour or two will be struck by perfect haiku. But not while filling out webform. 
387984,"@PositivelyB Thanks! I was needing a name for my angel/demon power, but I'm just referring to them as &quot;auras,&quot; which works. "
515741,Just bottled the lemon jam! Total turn-out just over 2 litres - and it's pretty tasty too! 
223134,"@tommcfly reply to our random tweets, then fly over lovely England, a few more tweets and then rest for tomorrows opening night  good ;)"
181376,Why do most people add photos with spouses in Orkut profiles? I do not see that in Facebook though! Thought? 
293920,Yo! Warmest day of the year so far here. Temp 16.1C and rising at 1.6C / hour. Toasty 
185457,this rain wasn't meant to arrive until this evening 
457585,"Medicating myself, I hate colds "
43667,Methinks I watch too much tv 
74049,"well, I need to go see what other messes I can make today, LOL..... Talk to you all later "
428756,"last night i sneezed and bit my tongue. today my poor tongue is all swollen. i feel like a HOUSE episode.  also, g'mornin ya'll! "
455947,pretty earling morning for me  drinking coffeeeeee
198122,@charmmydoll seriously.  ai likes to pull at our heartstrings really hard! &amp; you're not a bad person at all so please don't feel like that
129684,@Chris_Bayliss stupid work  im gonna be here till like fkn 9pm
341845,Got a twitter app for my iPod! 
51713,I'm back at work with Mummy today. It's really hot  Lots of people in and out of office this morning. I get whiffs every now and then! x
109762,@jasitd  oh man! look out oprah! im just six behind u on the wall 
6936,"@SirensEye All you need to make it pure hell is a little cowbell, then.  Construction noise sure is teh suck."
377623,is at home bc of the weather  so ugly outside!!! be back on tomorrow hopefully i gotta study for my test!!!!!
426801,"not it teh best form today, dont no why, just having a pissy day, i am all ways happy but to day ah not really   annoyed, bored, angry"
46872,Ooo I'm not well 
413817,@blakmanpromo Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
16217,@tonyfonseca A four letter word for Search?  Let me know when you find out.
107436,@PhuqPhase  sorry to disappoint.
99825,"I'm hating this weather, too fracking cold  I need someone to CGI me some fluffy clouds."
127413,@shawnharrel Haha nice. I'll be doing the same. 
321671,You will be in my prayer's tonight Air France Jet passengers.  Tweet dreams
237444,@yeahman do you mean click click @bramfilter ? @bpacris @ferretmusic I like that song 
238763,Bored out of mind. Don't wanna study for exams but I gotta 
15722,"@TaiSaintBoogie twitter restriction is a must!  I'm currently making up for my lost day of productivity, at the computer "
499582,omg. i had a gray hair right in the front of my head  i'm turning into my mom!
377329,"lj, why the lag? "
2268,"its FRiiiiiiiiiiiiiDAY!! okay for any1 that is working on a friday, repeat after me....&quot;Fridays are for attendence purposes only&quot; "
513149,@Bizarre57 I know....  nice touch from the BBC there.  Proves it's a good source of info and opinions....  
37872,"@glitch100 Sure thing, ill try and check out the BioWare booth and see what they have on. Lots to cover today  #XboxE3"
181738,@hrmortcia Wish I was there  I miss June Faire...
388924,My baby's heading to Mansfield Ohio today......  I get lonely when he goes away...good thing my friend Sabrina is moving here today!!!
95274,needs to think about starting revision for tomorrow!  lol
380287,Driving back to Waikiki after our failhike to the falls. 
482876,Just finished watchin da new ep of JONAS it was good like always mainly watch it for Kevins funny parts tht I love!gotta love Kevin Jonas 
287697,"Going swimming, be back later "
104973,@steny_agustaf good morning 
92713,@marnieb thanks for asking 
4172,"@s2Courtanay everyone's skin is different though. i know another girl who reacts the same as me, and others who don't break out "
16732,"@camphalfblood read it, LOVED it, and am looking forward to read Catching Fire now. "
161163,"feels like shit, had a shit morning and will probable have a shit day now "
217661,...have you ever seen the rain... dumdidum....  http://twitpic.com/7gp3p
96488,@CamDawson omg that veg video was matthew lush. he makes me wish i were a gay man  and im sorry you didnt get a library card. how is that?
509867,How can u tweet allllllllll day long sittin behind a terminal? I understand #mobileapps but all day behind a screen? wow. Do u work? j/k 
256723,"is home from the Casino, has something to eat, now about to lay in this bed,  alone! Tweeps its no fun, if the homies cant have none!"
288721,"The Crab House closed down....NOOOOOOO!!!! Damn, now I'm stuck eating chicken wings.  "
30069,@mrbutterboy haha lol okay thanks 
517347,We just watched a horror(?) movie called Teeth. It's about a girl with teeth in her vagina. Obviously worthy of five stars. Bite bite! 
266159,wants spongebob shirts...  http://plurk.com/p/z1u3q
17811,giving up! good night 
88221,@BarrySouthgate  hope you all had a great trip to America and that we treated you well.   .! Blessed day!---LTIM Youth
100202,"@swerdloff ice is cold, water is wet, people treat people like crap.  it's the nature of the world "
143564,@skyblues4eva Thanks  Hope you have a great day too! xoxo
30137,"@lollipop_nana Don't sleep yet. Hahaha. Well, I hope you won't fall asleep. "
135751,F**K! drop by 1  101. mybloglog.com
197800,"Just woke up. I feel very nostalgic for something, but i dont know what. Had a dream about aaron last night. Mmeehhh "
193594,http://twitpic.com/665to Less than 24 hours till the show! Oh and Lee broke his guitar at practice    http://twitpic.com/660vv
162974,one is eating many flapjacks. have heard they cure all ails and I need that today 
501888,@ChapStique yay!! ahh i am so excited  thanks so much!
284883,"What would you do if you went piss and felt i tickle, looked down, and a baby spider was crawling out of you? Ew "
518593,@x_SammyBaby_x haha okay D sounding gooooood! wish i could join yous but its my last day of school  i'll be crying all day! haha xxx
304440,"On my way to work, just got paid today and I'm already broke "
440341,"@alexandrastack i like fantasy movies, bout fairytale, pricesses, or movies bout teenage life "
420308, I see the sunrise. It's friiiiday
293539,@IAMYUNGJOC That sucks.!! Sorry to hear that. 
473045,Made kiana a get well cake 
38161,Looks like we're startin off the week with a beautiful day .. Thumbs up Mother Nature 
415023,going to bed.......... upsat cause the nkotb didnt come to the waffle house they said they would 
215721,"Hmmmmm, not the reply that I wanted. "
230635,Partys comming to an end.....2 ppl already left  thats a lot isnt it
229959,In a heartbeat 
124101,Just got off Skype with Tallon. I'm hitting the sheets. Accomplished MySpace. http://twitpic.com/6tswz/full. Have a look 
146806,"@morphisgirl Nah..  LOL  What was that?  I have to admit, I'm not a big Pop R&amp;B fan.  "
189265,i'm not feeling twitter at the moment 
11307,Off to the city in Melbourne to do some shopping. 
447615,... weekend over already! 
266138,"@freeadviceSea Yep disappointing, but odds of Mariners winning Sat. were less than 2%. I'll take a loss for a win-and the Anaheim series! "
480089,ready to sleep for work tomorrow 
289736,"@Jjpipeemz , Oh so really his rap is beyond ur time aye lol?! U need that dumb down hip hip!!! Wow pipe emz. LMAO. "
265058,had a bad day thanks to some pervs on the road but I'm all better now 
172486,@GarethCliff http://twitpic.com/698r5 - Cool pic wish I was there 
211447,"@alphaque ALAMAK Uncle, I justtttt saw your reply  I is dipres. Hv fun with Uncle J!  Bring back sambal ijo for me!"
430212,@Fearnecotton Loved your outfit on lastnights highlights 
273780,trying to rehome my brothers cat 
338840,"@AnnCurry To have health, to have the love of my family and partner "
313691,Yeay!! Got my tickets!! =D &amp; now..the waiting part! 
187399,"@hulalah (i hate how this thing has a word limit) and about the head thing, i was just telling. head injuries are DANGEROUS "
405967,is at least a couple months behind schedule for finishing school 
324059,Oven's integrated microwave function broke down  I can just imagine what kind of bill this will turn into...
439117,BOOM BOOM POW 
439571,back to the work again this morning fun times 
141145,Trying to make my wedding invite...would like to put that on there 
367449,Shhhh!!! The Hills season finale 
345790,@MikkaDinah *smooches* my back is still crappy...poopoo  hows the jaw?
140259,The Vatican's 2007 Processus Contra Templarios does not say very much about the trial of the templars.  
435068,#HIMYM S4 E21 is really good!  It's been long since one of their episodes were really funny!
43603,I know somethings wrong when I don't sleep well 
164247,"It's a beautiful day! I'm off to pick up my son &amp; pick up some fresh flowers  Enjoy your afternoon, BIG surprises are coming your way ;-)"
365787,"Good morning, everyone! I hope you have a great start to the day! *raises cup of coffee* "
498815,I am planning to go see castle in a couple of weeks. I am kinda excited. Will have to sit in a train for 3 hours though.  Aw well.
429594,sad...lost power and internet so i went directly for my phone for internet...think i have an internet problem 
52814,I'm pretty happy with who's following me and whom I'm following. GOOD people! 
3316,verizon is being gay right now and im not getting any service 
331983,But it is very hard to listen to.  
